gene	genome	ko	gene_abundance
SPIREOTU_00586435_000000000021_30	MAG_arc004	K24956	107.14
SPIREOTU_00586435_000000000021_31	MAG_arc004	K14415	21.04
SPIREOTU_00586435_000000000021_32	MAG_arc004	K01069	40.43
SPIREOTU_00586435_000000000021_33	MAG_arc004	K04034	29.03
SPIREOTU_00586435_000000000021_34	MAG_arc004	K07710	8.97
SPIREOTU_00586435_000000000021_35	MAG_arc004		45.23
SPIREOTU_00586435_000000000021_36	MAG_arc004	K03389; K18210	51.33
SPIREOTU_00586435_000000000021_37	MAG_arc004	K00104; K08167	31.87
SPIREOTU_00586435_000000000021_38	MAG_arc004		10.04
SPIREOTU_00586435_000000000021_39	MAG_arc004	K07557	138.87
SPIREOTU_00586435_000000000021_40	MAG_arc004		24.24
SPIREOTU_00586435_000000000021_41	MAG_arc004		24.88
SPIREOTU_00586435_000000000021_42	MAG_arc004		44.92
SPIREOTU_00586435_000000000021_43	MAG_arc004		49.30
SPIREOTU_00586435_000000000021_44	MAG_arc004	K00172	20.59
SPIREOTU_00586435_000000000021_45	MAG_arc004	K00171	34.22
SPIREOTU_00586435_000000000021_46	MAG_arc004	K00169	16.80
SPIREOTU_00586435_000000000021_47	MAG_arc004	K00170	16.20
SPIREOTU_00586435_000000000021_48	MAG_arc004		13.45
SPIREOTU_00586435_000000000021_49	MAG_arc004		40.11
SPIREOTU_00586435_000000000021_50	MAG_arc004		11.37
SPIREOTU_00586435_000000000021_51	MAG_arc004	K21138	88.03
SPIREOTU_00586435_000000000021_52	MAG_arc004	K03789	76.38
SPIREOTU_00586435_000000000021_53	MAG_arc004	K05540	33.96
SPIREOTU_00586435_000000000021_54	MAG_arc004		62.85
SPIREOTU_00586435_000000000021_55	MAG_arc004	K09736	42.79
SPIREOTU_00586435_000000000021_56	MAG_arc004	K03105	38.41
SPIREOTU_00586435_000000000021_57	MAG_arc004	K03079	23.63
SPIREOTU_00586435_000000000021_58	MAG_arc004	K00581	19.34
SPIREOTU_00586435_000000000021_59	MAG_arc004	K00580	40.17
SPIREOTU_00586435_000000000021_60	MAG_arc004		20.90
SPIREOTU_00586435_000000000022_1	MAG_arc004	K02065; K18888	31.05
SPIREOTU_00586435_000000000022_2	MAG_arc004	K02068; K18887	17.76
SPIREOTU_00586435_000000000022_3	MAG_arc004	K07142	6.81
SPIREOTU_00586435_000000000022_4	MAG_arc004	K08975	10.78
SPIREOTU_00586435_000000000022_5	MAG_arc004	K03168	28.45
SPIREOTU_00586435_000000000022_6	MAG_arc004	K11443; K11527	36.45
SPIREOTU_00586435_000000000023_1	MAG_arc004		26.11
SPIREOTU_00586435_000000000023_2	MAG_arc004		27.90
SPIREOTU_00586435_000000000023_3	MAG_arc004		11.03
SPIREOTU_00586435_000000000023_4	MAG_arc004		48.41
SPIREOTU_00586435_000000000023_5	MAG_arc004		23.94
SPIREOTU_00586435_000000000023_6	MAG_arc004	K01678	19.76
SPIREOTU_00586435_000000000023_7	MAG_arc004	K01677	20.58
SPIREOTU_00586435_000000000023_8	MAG_arc004	K09667	11.36
SPIREOTU_00586435_000000000023_9	MAG_arc004	K02536	22.79
SPIREOTU_00586435_000000000023_10	MAG_arc004	K11995	53.97
SPIREOTU_00586435_000000000023_11	MAG_arc004		54.72
SPIREOTU_00586435_000000000023_12	MAG_arc004		22.26
SPIREOTU_00586435_000000000023_13	MAG_arc004	K00441	14.25
SPIREOTU_00586435_000000000023_14	MAG_arc004	K00443	12.90
SPIREOTU_00586435_000000000023_15	MAG_arc004	K00442	30.43
SPIREOTU_00586435_000000000023_16	MAG_arc004	K00440	47.94
SPIREOTU_00586435_000000000023_17	MAG_arc004		14.71
SPIREOTU_00586435_000000000023_18	MAG_arc004		34.99
SPIREOTU_00586435_000000000023_19	MAG_arc004		87.32
SPIREOTU_00586435_000000000023_20	MAG_arc004	K21929	34.09
SPIREOTU_00586435_000000000023_21	MAG_arc004	K03499	46.91
SPIREOTU_00586435_000000000023_22	MAG_arc004	K03498	45.63
SPIREOTU_00586435_000000000023_23	MAG_arc004		54.07
SPIREOTU_00586435_000000000023_24	MAG_arc004	K17830	22.31
SPIREOTU_00586435_000000000023_25	MAG_arc004	K14941	36.87
SPIREOTU_00586435_000000000023_26	MAG_arc004	K03709	15.38
SPIREOTU_00586435_000000000023_27	MAG_arc004	K22011	16.14
SPIREOTU_00586435_000000000023_28	MAG_arc004	K09760	29.02
SPIREOTU_00586435_000000000023_29	MAG_arc004	K11780	24.73
SPIREOTU_00586435_000000000023_30	MAG_arc004	K09835	31.82
SPIREOTU_00586435_000000000023_31	MAG_arc004		20.49
SPIREOTU_00586435_000000000023_32	MAG_arc004	K07027	37.24
SPIREOTU_00586435_000000000023_33	MAG_arc004	K00966; K16881	35.89
SPIREOTU_00586435_000000000023_34	MAG_arc004	K01473	43.89
SPIREOTU_00586435_000000000023_35	MAG_arc004	K01006	20.88
SPIREOTU_00586435_000000000023_36	MAG_arc004	K03592	16.65
SPIREOTU_00586435_000000000023_37	MAG_arc004	K03568	47.57
SPIREOTU_00586435_000000000023_38	MAG_arc004		13.85
SPIREOTU_00586435_000000000023_39	MAG_arc004	K03124	151.69
SPIREOTU_00586435_000000000023_40	MAG_arc004	K07569	55.42
SPIREOTU_00586435_000000000023_41	MAG_arc004	K04076	37.39
SPIREOTU_00586435_000000000023_42	MAG_arc004		92.33
SPIREOTU_00586435_000000000023_43	MAG_arc004		47.35
SPIREOTU_00586435_000000000023_44	MAG_arc004	K24409	94.48
SPIREOTU_00586435_000000000023_45	MAG_arc004	K24410	27.01
SPIREOTU_00586435_000000000023_46	MAG_arc004		40.52
SPIREOTU_00586435_000000000023_47	MAG_arc004	K03148; K21029	18.91
SPIREOTU_00586435_000000000023_48	MAG_arc004		51.42
SPIREOTU_00586435_000000000023_49	MAG_arc004	K01522; K02503	79.67
SPIREOTU_00586435_000000000023_50	MAG_arc004	K01585	21.42
SPIREOTU_00586435_000000000023_51	MAG_arc004	K11778; K15888	45.14
SPIREOTU_00586435_000000000023_52	MAG_arc004		15.48
SPIREOTU_00586435_000000000023_53	MAG_arc004	K07129	38.02
SPIREOTU_00586435_000000000023_54	MAG_arc004	K07129	16.30
SPIREOTU_00586435_000000000023_55	MAG_arc004	K07041	50.22
SPIREOTU_00586435_000000000023_56	MAG_arc004	K03433	9.71
SPIREOTU_00586435_000000000023_57	MAG_arc004	K07254	45.93
SPIREOTU_00586435_000000000023_58	MAG_arc004	K03136	23.67
SPIREOTU_00586435_000000000023_59	MAG_arc004	K07562	65.44
SPIREOTU_00586435_000000000023_60	MAG_arc004	K00197	27.19
SPIREOTU_00586435_000000000023_61	MAG_arc004	K00194	17.11
SPIREOTU_00586435_000000000023_62	MAG_arc004	K00193	47.58
SPIREOTU_00586435_000000000023_63	MAG_arc004	K07095	53.98
SPIREOTU_00586435_000000000023_64	MAG_arc004	K07730	32.25
SPIREOTU_00586435_000000000023_65	MAG_arc004		12.10
SPIREOTU_00586435_000000000023_66	MAG_arc004		69.99
SPIREOTU_00586435_000000000023_67	MAG_arc004	K01869	36.57
SPIREOTU_00586435_000000000023_68	MAG_arc004	K01733	30.92
SPIREOTU_00586435_000000000023_69	MAG_arc004		28.83
SPIREOTU_00586435_000000000023_70	MAG_arc004		11.25
SPIREOTU_00586435_000000000023_71	MAG_arc004		27.62
SPIREOTU_00586435_000000000024_1	MAG_arc004	K00666; K01904	55.60
SPIREOTU_00586435_000000000024_2	MAG_arc004		8.15
SPIREOTU_00586435_000000000024_3	MAG_arc004	K06982	61.36
SPIREOTU_00586435_000000000024_4	MAG_arc004	K13038	38.85
SPIREOTU_00586435_000000000024_5	MAG_arc004	K02427	16.94
SPIREOTU_00586435_000000000024_6	MAG_arc004	K04477	74.77
SPIREOTU_00586435_000000000024_7	MAG_arc004		21.68
SPIREOTU_00586435_000000000024_8	MAG_arc004		22.72
SPIREOTU_00586435_000000000024_9	MAG_arc004		24.79
SPIREOTU_00586435_000000000024_10	MAG_arc004	K14080	22.26
SPIREOTU_00586435_000000000024_11	MAG_arc004		10.88
SPIREOTU_00586435_000000000024_12	MAG_arc004		22.63
SPIREOTU_00586435_000000000025_1	MAG_arc004		7.39
SPIREOTU_00586435_000000000025_2	MAG_arc004		18.01
SPIREOTU_00586435_000000000025_3	MAG_arc004		14.81
SPIREOTU_00586435_000000000025_4	MAG_arc004	K02500	44.46
SPIREOTU_00586435_000000000025_5	MAG_arc004	K07462	22.13
SPIREOTU_00586435_000000000025_6	MAG_arc004	K04484	36.22
SPIREOTU_00586435_000000000025_7	MAG_arc004	K08963	12.60
SPIREOTU_00586435_000000000025_8	MAG_arc004		10.86
SPIREOTU_00586435_000000000025_9	MAG_arc004		28.23
SPIREOTU_00586435_000000000025_10	MAG_arc004	K02049	14.48
SPIREOTU_00586435_000000000025_11	MAG_arc004	K02050; K15554	20.76
SPIREOTU_00586435_000000000025_12	MAG_arc004		12.06
SPIREOTU_00586435_000000000025_13	MAG_arc004	K08303	46.40
SPIREOTU_00586435_000000000025_14	MAG_arc004	K02051; K15553	69.17
SPIREOTU_00586435_000000000025_15	MAG_arc004		29.28
SPIREOTU_00586435_000000000025_16	MAG_arc004		44.59
SPIREOTU_00586435_000000000025_17	MAG_arc004	K01537	12.28
SPIREOTU_00586435_000000000025_18	MAG_arc004		95.06
SPIREOTU_00586435_000000000025_19	MAG_arc004		21.70
SPIREOTU_00586435_000000000025_20	MAG_arc004		34.07
SPIREOTU_00586435_000000000025_21	MAG_arc004	K02469	19.78
SPIREOTU_00586435_000000000025_22	MAG_arc004	K02470	32.94
SPIREOTU_00586435_000000000025_23	MAG_arc004	K06934	19.69
SPIREOTU_00586435_000000000025_24	MAG_arc004	K03768	33.49
SPIREOTU_00586435_000000000025_25	MAG_arc004		24.96
SPIREOTU_00586435_000000000025_26	MAG_arc004	K03775	48.20
SPIREOTU_00586435_000000000025_27	MAG_arc004		16.85
SPIREOTU_00586435_000000000025_28	MAG_arc004		72.63
SPIREOTU_00586435_000000000025_29	MAG_arc004	K01940	32.60
SPIREOTU_00586435_000000000025_30	MAG_arc004	K00830	80.22
SPIREOTU_00586435_000000000025_31	MAG_arc004	K10947	96.87
SPIREOTU_00586435_000000000025_32	MAG_arc004		13.15
SPIREOTU_00586435_000000000025_33	MAG_arc004		32.36
SPIREOTU_00586435_000000000025_34	MAG_arc004	K04767	45.65
SPIREOTU_00586435_000000000025_35	MAG_arc004	K03321	44.10
SPIREOTU_00586435_000000000025_36	MAG_arc004	K03281	32.42
SPIREOTU_00586435_000000000025_37	MAG_arc004	K01687	14.27
SPIREOTU_00586435_000000000025_38	MAG_arc004		9.90
SPIREOTU_00586435_000000000025_39	MAG_arc004	K02343; K04801	13.89
SPIREOTU_00586435_000000000025_40	MAG_arc004		95.45
SPIREOTU_00586435_000000000026_1	MAG_arc004	K06857; K18888	25.78
SPIREOTU_00586435_000000000026_2	MAG_arc004	K03455	67.54
SPIREOTU_00586435_000000000026_3	MAG_arc004	K01870	20.43
SPIREOTU_00586435_000000000026_4	MAG_arc004		56.08
SPIREOTU_00586435_000000000026_5	MAG_arc004	K09743	31.16
SPIREOTU_00586435_000000000026_6	MAG_arc004	K03595	62.21
SPIREOTU_00586435_000000000026_7	MAG_arc004		46.14
SPIREOTU_00586435_000000000026_8	MAG_arc004		35.62
SPIREOTU_00586435_000000000026_9	MAG_arc004		24.51
SPIREOTU_00586435_000000000026_10	MAG_arc004	K01588	13.41
SPIREOTU_00586435_000000000026_11	MAG_arc004	K07103	73.67
SPIREOTU_00586435_000000000026_12	MAG_arc004	K06940	20.75
SPIREOTU_00586435_000000000026_13	MAG_arc004	K01703	18.53
SPIREOTU_00586435_000000000026_14	MAG_arc004	K01523	18.19
SPIREOTU_00586435_000000000026_15	MAG_arc004		17.21
SPIREOTU_00586435_000000000026_16	MAG_arc004	K02232	26.40
SPIREOTU_00586435_000000000026_17	MAG_arc004		17.24
SPIREOTU_00586435_000000000026_18	MAG_arc004		116.51
SPIREOTU_00586435_000000000026_19	MAG_arc004	K03151	27.73
SPIREOTU_00586435_000000000026_20	MAG_arc004		33.30
SPIREOTU_00586435_000000000027_1	MAG_arc004		35.97
SPIREOTU_00586435_000000000027_2	MAG_arc004	K01890	30.07
SPIREOTU_00586435_000000000027_3	MAG_arc004	K09121	26.23
SPIREOTU_00586435_000000000027_4	MAG_arc004	K06898	6.22
SPIREOTU_00586435_000000000027_5	MAG_arc004	K03671	34.01
SPIREOTU_00586435_000000000027_6	MAG_arc004	K12234	51.29
SPIREOTU_00586435_000000000027_7	MAG_arc004	K24042	17.84
SPIREOTU_00586435_000000000027_8	MAG_arc004	K25008	19.34
SPIREOTU_00586435_000000000027_9	MAG_arc004		24.90
SPIREOTU_00586435_000000000027_10	MAG_arc004		75.01
SPIREOTU_00586435_000000000027_11	MAG_arc004	K00796; K03431	24.65
SPIREOTU_00586435_000000000027_12	MAG_arc004	K01491	29.48
SPIREOTU_00586435_000000000027_13	MAG_arc004	K00600	7.28
SPIREOTU_00586435_000000000027_14	MAG_arc004	K01151	12.63
SPIREOTU_00586435_000000000027_15	MAG_arc004		19.79
SPIREOTU_00586435_000000000027_16	MAG_arc004	K02201	6.35
SPIREOTU_00586435_000000000027_17	MAG_arc004	K04483	13.85
SPIREOTU_00586435_000000000027_18	MAG_arc004	K18882	55.84
SPIREOTU_00586435_000000000027_19	MAG_arc004		17.50
SPIREOTU_00586435_000000000027_20	MAG_arc004	K02224	32.33
SPIREOTU_00586435_000000000027_21	MAG_arc004	K00133	8.34
SPIREOTU_00586435_000000000027_22	MAG_arc004		37.17
SPIREOTU_00586435_000000000027_23	MAG_arc004		16.58
SPIREOTU_00586435_000000000027_24	MAG_arc004		22.86
SPIREOTU_00586435_000000000027_25	MAG_arc004		64.17
SPIREOTU_00586435_000000000027_26	MAG_arc004	K09816	17.43
SPIREOTU_00586435_000000000027_27	MAG_arc004	K09817	31.38
SPIREOTU_00586435_000000000027_28	MAG_arc004	K09815	19.42
SPIREOTU_00586435_000000000027_29	MAG_arc004		31.11
SPIREOTU_00586435_000000000027_30	MAG_arc004	K03709	20.04
SPIREOTU_00586435_000000000027_31	MAG_arc004	K14080; K16954	19.48
SPIREOTU_00586435_000000000028_1	MAG_arc004	K06867	24.13
SPIREOTU_00586435_000000000028_2	MAG_arc004	K06272; K21440	4.32
SPIREOTU_00586435_000000000028_3	MAG_arc004	K02006	42.28
SPIREOTU_00586435_000000000028_4	MAG_arc004	K02008	33.28
SPIREOTU_00586435_000000000029_1	MAG_arc004		24.58
SPIREOTU_00586435_000000000029_2	MAG_arc004	K23753	20.50
SPIREOTU_00586435_000000000029_3	MAG_arc004	K20499	31.50
SPIREOTU_00586435_000000000029_4	MAG_arc004	K22226	34.64
SPIREOTU_00586435_000000000029_5	MAG_arc004	K07744	63.15
SPIREOTU_00586435_000000000029_6	MAG_arc004		16.27
SPIREOTU_00586435_000000000029_7	MAG_arc004	K06943	26.01
SPIREOTU_00586435_000000000029_8	MAG_arc004	K00812	40.75
SPIREOTU_00586435_000000000029_9	MAG_arc004		21.07
SPIREOTU_00586435_000000000030_1	MAG_arc004	K17286	49.14
SPIREOTU_00586435_000000000030_2	MAG_arc004		76.88
SPIREOTU_00586435_000000000030_3	MAG_arc004		23.61
SPIREOTU_00586435_000000000031_1	MAG_arc004		18.69
SPIREOTU_00586435_000000000031_2	MAG_arc004	K07244	42.60
SPIREOTU_00586435_000000000031_3	MAG_arc004	K07244	46.44
SPIREOTU_00586435_000000000031_4	MAG_arc004		63.41
SPIREOTU_00586435_000000000031_5	MAG_arc004		25.57
SPIREOTU_00586435_000000000031_6	MAG_arc004		31.64
SPIREOTU_00586435_000000000031_7	MAG_arc004	K09807	40.88
SPIREOTU_00586435_000000000031_8	MAG_arc004	K03703	73.63
SPIREOTU_00586435_000000000031_9	MAG_arc004	K23976	17.26
SPIREOTU_00586435_000000000031_10	MAG_arc004	K23975	44.73
SPIREOTU_00586435_000000000031_11	MAG_arc004		39.22
SPIREOTU_00586435_000000000031_12	MAG_arc004	K03272; K14656	59.71
SPIREOTU_00586435_000000000031_13	MAG_arc004		24.76
SPIREOTU_00586435_000000000031_14	MAG_arc004	K00567	26.80
SPIREOTU_00586435_000000000031_15	MAG_arc004	K09741	102.30
SPIREOTU_00586435_000000000031_16	MAG_arc004		20.10
SPIREOTU_00586435_000000000031_17	MAG_arc004	K02921	55.54
SPIREOTU_00586435_000000000031_18	MAG_arc004	K12589	46.25
SPIREOTU_00586435_000000000031_19	MAG_arc004	K00962; K11600	16.18
SPIREOTU_00586435_000000000031_20	MAG_arc004	K03679	107.63
SPIREOTU_00586435_000000000031_21	MAG_arc004	K14574	39.36
SPIREOTU_00586435_000000000031_22	MAG_arc004	K03432	45.70
SPIREOTU_00586435_000000000031_23	MAG_arc004	K03537	32.54
SPIREOTU_00586435_000000000031_24	MAG_arc004		14.81
SPIREOTU_00586435_000000000031_25	MAG_arc004	K07581	8.75
SPIREOTU_00586435_000000000031_26	MAG_arc004	K02877	13.05
SPIREOTU_00586435_000000000031_27	MAG_arc004		28.55
SPIREOTU_00586435_000000000031_28	MAG_arc004		32.50
SPIREOTU_00586435_000000000031_29	MAG_arc004		26.15
SPIREOTU_00586435_000000000031_30	MAG_arc004		25.96
SPIREOTU_00586435_000000000031_31	MAG_arc004	K03652	41.44
SPIREOTU_00586435_000000000031_32	MAG_arc004		54.63
SPIREOTU_00586435_000000000031_33	MAG_arc004		30.31
SPIREOTU_00586435_000000000031_34	MAG_arc004		50.68
SPIREOTU_00586435_000000000031_35	MAG_arc004	K04759	41.22
SPIREOTU_00586435_000000000031_36	MAG_arc004	K04758	39.73
SPIREOTU_00586435_000000000031_37	MAG_arc004	K07388	23.30
SPIREOTU_00586435_000000000031_38	MAG_arc004		35.59
SPIREOTU_00586435_000000000031_39	MAG_arc004	K01533; K01537	23.69
SPIREOTU_00586435_000000000031_40	MAG_arc004		41.37
SPIREOTU_00586435_000000000031_41	MAG_arc004	K00145	41.17
SPIREOTU_00586435_000000000031_42	MAG_arc004	K00620	17.91
SPIREOTU_00586435_000000000031_43	MAG_arc004	K13532	14.51
SPIREOTU_00586435_000000000031_44	MAG_arc004	K22516	54.55
SPIREOTU_00586435_000000000031_45	MAG_arc004	K00125	16.53
SPIREOTU_00586435_000000000031_46	MAG_arc004	K14127	45.02
SPIREOTU_00586435_000000000031_47	MAG_arc004	K03388	6.10
SPIREOTU_00586435_000000000031_48	MAG_arc004	K03389	59.59
SPIREOTU_00586435_000000000031_49	MAG_arc004	K03390	20.70
SPIREOTU_00586435_000000000031_50	MAG_arc004	K14392	25.64
SPIREOTU_00586435_000000000031_51	MAG_arc004	K02007	15.07
SPIREOTU_00586435_000000000031_52	MAG_arc004	K02007	14.18
SPIREOTU_00586435_000000000031_53	MAG_arc004	K16915	13.01
SPIREOTU_00586435_000000000031_54	MAG_arc004	K02008	15.21
SPIREOTU_00586435_000000000031_55	MAG_arc004	K02006	15.22
SPIREOTU_00586435_000000000031_56	MAG_arc004		19.85
SPIREOTU_00586435_000000000031_57	MAG_arc004	K04095	32.60
SPIREOTU_00586435_000000000031_58	MAG_arc004	K01424; K09482	64.11
SPIREOTU_00586435_000000000031_59	MAG_arc004	K01755	25.03
SPIREOTU_00586435_000000000032_1	MAG_arc004	K16182	14.92
SPIREOTU_00586435_000000000032_2	MAG_arc004	K12234	14.40
SPIREOTU_00586435_000000000032_3	MAG_arc004	K03555	62.82
SPIREOTU_00586435_000000000032_4	MAG_arc004		16.91
SPIREOTU_00586435_000000000032_5	MAG_arc004		66.96
SPIREOTU_00586435_000000000032_6	MAG_arc004	K07398; K07557	39.01
SPIREOTU_00586435_000000000032_7	MAG_arc004		15.86
SPIREOTU_00586435_000000000032_8	MAG_arc004	K03572	30.41
SPIREOTU_00586435_000000000032_9	MAG_arc004		48.06
SPIREOTU_00586435_000000000032_10	MAG_arc004		17.77
SPIREOTU_00586435_000000000032_11	MAG_arc004		52.86
SPIREOTU_00586435_000000000032_12	MAG_arc004		19.63
SPIREOTU_00586435_000000000032_13	MAG_arc004	K10844; K11273	24.01
SPIREOTU_00586435_000000000032_14	MAG_arc004		32.41
SPIREOTU_00586435_000000000032_15	MAG_arc004		23.55
SPIREOTU_00586435_000000000033_1	MAG_arc004		62.77
SPIREOTU_00586435_000000000033_2	MAG_arc004	K01507	135.23
SPIREOTU_00586435_000000000033_3	MAG_arc004	K03546; K19171	15.43
SPIREOTU_00586435_000000000033_4	MAG_arc004	K03547	55.23
SPIREOTU_00586435_000000000033_5	MAG_arc004	K07053	24.87
SPIREOTU_00586435_000000000033_6	MAG_arc004		6.81
SPIREOTU_00586435_000000000033_7	MAG_arc004	K06174; K09817	26.44
SPIREOTU_00586435_000000000033_8	MAG_arc004		12.46
SPIREOTU_00586435_000000000033_9	MAG_arc004	K04023	54.57
SPIREOTU_00586435_000000000033_10	MAG_arc004	K07577	56.21
SPIREOTU_00586435_000000000033_11	MAG_arc004	K00762	25.82
SPIREOTU_00586435_000000000033_12	MAG_arc004	K07060	19.05
SPIREOTU_00586435_000000000033_13	MAG_arc004		9.60
SPIREOTU_00586435_000000000033_14	MAG_arc004	K02995	19.19
SPIREOTU_00586435_000000000033_15	MAG_arc004		17.26
SPIREOTU_00586435_000000000033_16	MAG_arc004		31.38
SPIREOTU_00586435_000000000033_17	MAG_arc004		34.14
SPIREOTU_00586435_000000000033_18	MAG_arc004		46.63
SPIREOTU_00586435_000000000033_19	MAG_arc004	K02230	58.87
SPIREOTU_00586435_000000000033_20	MAG_arc004		24.46
SPIREOTU_00586435_000000000033_21	MAG_arc004	K04487; K11717	70.12
SPIREOTU_00586435_000000000033_22	MAG_arc004	K24865	23.32
SPIREOTU_00586435_000000000033_23	MAG_arc004		23.18
SPIREOTU_00586435_000000000033_24	MAG_arc004	K00948	17.89
SPIREOTU_00586435_000000000033_25	MAG_arc004	K23997	17.03
SPIREOTU_00586435_000000000033_26	MAG_arc004	K06881	36.66
SPIREOTU_00586435_000000000033_27	MAG_arc004	K09717	97.45
SPIREOTU_00586435_000000000033_28	MAG_arc004	K03113	66.58
SPIREOTU_00586435_000000000033_29	MAG_arc004		26.37
SPIREOTU_00586435_000000000033_30	MAG_arc004		29.48
SPIREOTU_00586435_000000000033_31	MAG_arc004	K22585	35.16
SPIREOTU_00586435_000000000033_32	MAG_arc004	K00830	8.94
SPIREOTU_00586435_000000000033_33	MAG_arc004	K13831	51.56
SPIREOTU_00586435_000000000033_34	MAG_arc004	K00609	25.63
SPIREOTU_00586435_000000000033_35	MAG_arc004	K00610	83.23
SPIREOTU_00586435_000000000033_36	MAG_arc004	K05966	13.55
SPIREOTU_00586435_000000000033_37	MAG_arc004	K05540	33.82
SPIREOTU_00586435_000000000033_38	MAG_arc004		33.86
SPIREOTU_00586435_000000000033_39	MAG_arc004	K01496	13.47
SPIREOTU_00586435_000000000033_40	MAG_arc004	K06865	13.79
SPIREOTU_00586435_000000000033_41	MAG_arc004		24.27
SPIREOTU_00586435_000000000033_42	MAG_arc004	K09729	22.98
SPIREOTU_00586435_000000000033_43	MAG_arc004	K09729	18.97
SPIREOTU_00586435_000000000033_44	MAG_arc004		9.09
SPIREOTU_00586435_000000000033_45	MAG_arc004	K07254	32.70
SPIREOTU_00586435_000000000033_46	MAG_arc004		25.45
SPIREOTU_00586435_000000000033_47	MAG_arc004	K03924	36.18
SPIREOTU_00586435_000000000034_1	MAG_arc004		13.34
SPIREOTU_00586435_000000000034_2	MAG_arc004	K01493	104.44
SPIREOTU_00586435_000000000034_3	MAG_arc004	K03074	35.64
SPIREOTU_00586435_000000000034_4	MAG_arc004	K03072	7.01
SPIREOTU_00586435_000000000034_5	MAG_arc004	K02343; K04801	46.08
SPIREOTU_00586435_000000000034_6	MAG_arc004		40.90
SPIREOTU_00586435_000000000034_7	MAG_arc004		25.44
SPIREOTU_00586435_000000000034_8	MAG_arc004		53.19
SPIREOTU_00586435_000000000034_9	MAG_arc004		8.20
SPIREOTU_00586435_000000000034_10	MAG_arc004		18.74
SPIREOTU_00586435_000000000034_11	MAG_arc004	K16238	31.40
SPIREOTU_00586435_000000000034_12	MAG_arc004	K16176	20.90
SPIREOTU_00586435_000000000034_13	MAG_arc004	K16176	33.89
SPIREOTU_00586435_000000000034_14	MAG_arc004	K16177	20.91
SPIREOTU_00586435_000000000034_15	MAG_arc004	K14082	114.09
SPIREOTU_00586435_000000000034_16	MAG_arc004	K16183	41.95
SPIREOTU_00586435_000000000034_17	MAG_arc004	K01480	40.00
SPIREOTU_00586435_000000000034_18	MAG_arc004	K09721	17.06
SPIREOTU_00586435_000000000034_19	MAG_arc004	K07143	12.62
SPIREOTU_00586435_000000000034_20	MAG_arc004	K06920	116.34
SPIREOTU_00586435_000000000034_21	MAG_arc004	K10896	38.49
SPIREOTU_00586435_000000000034_22	MAG_arc004	K13993	21.67
SPIREOTU_00586435_000000000034_23	MAG_arc004	K15635	32.20
SPIREOTU_00586435_000000000034_24	MAG_arc004	K12524	19.72
SPIREOTU_00586435_000000000034_25	MAG_arc004	K01933	17.96
SPIREOTU_00586435_000000000034_26	MAG_arc004		27.32
SPIREOTU_00586435_000000000034_27	MAG_arc004		37.11
SPIREOTU_00586435_000000000034_28	MAG_arc004		29.25
SPIREOTU_00586435_000000000034_29	MAG_arc004		25.42
SPIREOTU_00586435_000000000034_30	MAG_arc004		35.91
SPIREOTU_00586435_000000000034_31	MAG_arc004	K03294	16.54
SPIREOTU_00586435_000000000034_32	MAG_arc004		39.73
SPIREOTU_00586435_000000000034_33	MAG_arc004		33.29
SPIREOTU_00586435_000000000034_34	MAG_arc004	K01473	13.74
SPIREOTU_00586435_000000000034_35	MAG_arc004	K14084	28.08
SPIREOTU_00586435_000000000034_36	MAG_arc004	K14083	31.65
SPIREOTU_00586435_000000000034_37	MAG_arc004	K14083	55.14
SPIREOTU_00586435_000000000034_38	MAG_arc004	K16178	15.97
SPIREOTU_00586435_000000000034_39	MAG_arc004	K16178	83.94
SPIREOTU_00586435_000000000034_40	MAG_arc004	K16179	21.28
SPIREOTU_00586435_000000000034_41	MAG_arc004	K04802	20.63
SPIREOTU_00586435_000000000034_42	MAG_arc004	K03019; K03057	79.93
SPIREOTU_00586435_000000000034_43	MAG_arc004	K08971	7.62
SPIREOTU_00586435_000000000034_44	MAG_arc004	K14168; K21947	63.77
SPIREOTU_00586435_000000000034_45	MAG_arc004		52.96
SPIREOTU_00586435_000000000034_46	MAG_arc004	K09759	26.38
SPIREOTU_00586435_000000000034_47	MAG_arc004	K01807	37.81
SPIREOTU_00586435_000000000034_48	MAG_arc004	K09994; K18815	4.32
SPIREOTU_00586435_000000000034_49	MAG_arc004		82.11
SPIREOTU_00586435_000000000034_50	MAG_arc004		8.54
SPIREOTU_00586435_000000000034_51	MAG_arc004	K03725; K03726	14.83
SPIREOTU_00586435_000000000034_52	MAG_arc004	K13280	16.51
SPIREOTU_00586435_000000000034_53	MAG_arc004	K13280	30.42
SPIREOTU_00586435_000000000034_54	MAG_arc004	K02323	5.09
SPIREOTU_00586435_000000000034_55	MAG_arc004	K03165	21.01
SPIREOTU_00586435_000000000034_56	MAG_arc004	K13533	16.91
SPIREOTU_00586435_000000000034_57	MAG_arc004		25.27
SPIREOTU_00586435_000000000034_58	MAG_arc004	K14080; K14084	19.59
SPIREOTU_00586435_000000000034_59	MAG_arc004	K01473	36.36
SPIREOTU_00586435_000000000034_60	MAG_arc004	K22447	18.35
SPIREOTU_00586435_000000000034_61	MAG_arc004	K02322	26.76
SPIREOTU_00586435_000000000034_62	MAG_arc004		37.60
SPIREOTU_00586435_000000000034_63	MAG_arc004	K07566	4.87
SPIREOTU_00586435_000000000034_64	MAG_arc004	K03265	41.87
